full_name_ingredient,name_ingredient_ru,format_ingredient_ru,category_ru,ingredient_format_cat,calories_kcal,moisture_per,protein_per,carbohydrate_per,fats_per,ash_g,fiber_g,cholesterol_mg,total_sugar_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_mcg,iodine_mcg,choline_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_d_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_k_mcg,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,lutein_zeaxanthin_mcg,lycopene_mcg,retinol_mcg,linoleic_acid_g,alpha_linolenic_acid_g,arachidonic_acid_g,epa_g,dha_g
"WHEY,ACID,FLUID",Сыворотка,"Кислотная, Жидкая",Яйца и молочные продукты,"Сыворотка — Кислотная, Жидкая",24.0,93.42,0.76,5.12,0.09,0.61,0.0,1.0,5.119999886,103.0,78.0,10.0,48.0,143.0,0.08,0.003,0.43,0.002,1.8,1.3,16.0,2.0,0.0,0.0,0.042,0.14,0.079,0.381,0.042,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.003,0.0,0.0,0.0,0.0
"WHEY,ACID,DRIED",Сыворотка,"Кислотная, Сухая",Яйца и молочные продукты,"Сыворотка — Кислотная, Сухая",339.0,3.51,11.73,73.45,0.54,10.77,0.0,3.0,73.44999695,2054.0,1349.0,199.0,968.0,2289.0,1.24,0.05,6.31,0.015,27.3,13.0,225.0,17.0,0.0,0.0,0.622,2.06,1.16,5.632,0.62,0.0,2.5,0.9,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.018,0.003,0.0,0.0,0.0
"WHEY,SWEET,FLUID",Сыворотка,"Сладкая, Жидкая",Яйца и молочные продукты,"Сыворотка — Сладкая, Жидкая",27.0,93.12,0.85,5.14,0.36,0.53,0.0,2.0,5.139999866,47.0,46.0,8.0,54.0,161.0,0.06,0.004,0.13,0.001,1.9,1.3,16.0,3.0,0.0,0.0,0.036,0.158,0.074,0.383,0.031,0.0,0.28,0.1,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.008,0.003,0.0,0.0,0.0
"WHEY,SWEET,DRIED",Сыворотка,"Сладкая, Сухая",Яйца и молочные продукты,"Сыворотка — Сладкая, Сухая",353.0,3.19,12.93,74.46,1.07,8.35,0.0,6.0,74.45999908,796.0,932.0,176.0,1079.0,2080.0,0.88,0.07,1.97,0.009,27.2,13.0,225.0,8.0,0.02,0.0,0.519,2.208,1.258,5.62,0.584,0.0,2.37,1.5,0.1,0.0,2.0,0.0,0.0,0.0,8.0,0.025,0.009,0.0,0.0,0.0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",Йогурт,"Цельное Молоко, 8 Г Белка На 226 Г",Яйца и молочные продукты,"Йогурт — Цельное Молоко, 8 Г Белка На 226 Г",61.0,87.9,3.47,4.66,3.25,0.72,0.0,13.0,4.659999847,121.0,95.0,12.0,46.0,155.0,0.05,0.009,0.59,0.004,2.2,14.45,15.0,27.0,0.06,0.1,0.029,0.142,0.075,0.389,0.032,0.0,0.37,0.5,0.2,0.0,5.0,0.0,0.0,0.0,27.0,0.065,0.027,0.0,0.0,0.0
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",Йогурт,"Обезжиренный, 12 Г Белка На 226 Г",Яйца и молочные продукты,"Йогурт — Обезжиренный, 12 Г Белка На 226 Г",63.0,85.07,5.25,7.04,1.55,1.09,0.0,6.0,7.039999962,183.0,144.0,17.0,70.0,234.0,0.08,0.013,0.89,0.004,3.3,13.5,15.0,14.0,0.03,0.0,0.044,0.214,0.114,0.591,0.049,0.0,0.56,0.8,0.2,0.0,2.0,0.0,0.0,0.0,14.0,0.031,0.013,0.0,0.0,0.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",Йогурт,"Из Обезжиренного Молока, 13 Г Белка На 226 Г",Яйца и молочные продукты,"Йогурт — Из Обезжиренного Молока, 13 Г Белка На 226 Г",56.0,85.23,5.73,7.68,0.18,1.18,0.0,2.0,7.679999828,199.0,157.0,19.0,77.0,255.0,0.09,0.015,0.97,0.005,3.6,13.5,15.0,2.0,0.0,0.0,0.048,0.234,0.124,0.641,0.053,0.0,0.61,0.9,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.004,0.001,0.0,0.0,0.0
"EGG,WHOLE,RAW,FRESH",Яйцо,Куринное,Яйца и молочные продукты,Яйцо — Куринное,143.0,75.84,12.58,0.77,9.94,0.86,0.0,423.0,0.769999981,53.0,191.0,12.0,140.0,134.0,1.83,0.102,1.11,0.038,31.7,32.0,251.0,140.0,0.97,2.0,0.069,0.478,0.07,1.438,0.143,0.0,1.29,0.0,0.3,0.0,10.0,9.0,331.0,0.0,139.0,1.56,0.048,0.188,0.0,0.058
"EGG,WHITE,RAW,FRESH",Яйцо,"Куринное, Белок",Яйца и молочные продукты,"Яйцо — Куринное, Белок",48.0,87.57,10.9,0.73,0.17,0.63,0.0,0.0,0.709999979,7.0,15.0,11.0,166.0,163.0,0.08,0.023,0.03,0.011,20.0,0.0,1.0,0.0,0.0,0.0,0.004,0.439,0.105,0.19,0.005,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EGG,YOLK,RAW,FRSH",Яйцо,"Куринное, Желток",Яйца и молочные продукты,"Яйцо — Куринное, Желток",317.0,52.31,15.86,3.59,26.54,1.71,0.0,1234.0,0.560000002,129.0,390.0,5.0,48.0,109.0,2.73,0.077,2.3,0.055,56.0,177.0,682.0,381.0,2.58,5.4,0.176,0.528,0.024,2.99,0.35,0.0,1.95,0.0,0.7,38.0,88.0,33.0,1094.0,0.0,371.0,3.54,0.103,0.438,0.0,0.114
"EGG,QUAIL,WHOLE,FRESH,RAW",Яйцо,Перепелиное,Яйца и молочные продукты,Яйцо — Перепелиное,158.0,74.35,13.05,0.41,11.09,1.1,0.0,844.0,0.409999996,64.0,226.0,13.0,141.0,132.0,3.65,0.062,1.47,0.038,32.0,50.8,263.0,156.0,1.08,1.4,0.13,0.79,0.15,1.761,0.15,0.0,1.58,0.0,0.3,0.0,11.0,10.0,369.0,0.0,155.0,0.94,0.044,0.122,0.0,0.0
"EGG,TURKEY,WHL,FRSH,RAW",Яйцо,Индюшиное,Яйца и молочные продукты,Яйцо — Индюшиное,171.0,72.5,13.68,1.15,11.88,0.79,0.0,933.0,0.0,99.0,170.0,13.0,151.0,142.0,4.1,0.062,1.58,0.038,34.3,0.0,0.0,166.0,0.0,0.0,0.11,0.47,0.024,1.889,0.131,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.17,0.079,0.127,0.0,0.0
"GINGER,GROUND",Имбирь,Молотый,Зелень и специи,Имбирь — Молотый,347.0,9.38,9.12,70.79,5.95,4.77,12.5,0.0,3.390000105,116.0,148.0,184.0,32.0,1343.0,11.52,0.48,4.72,26.5,38.5,0.0,41.0,7.0,18.02,0.0,0.046,0.185,5.155,0.0,0.84,0.0,0.0,7.0,0.8,0.0,88.0,0.0,0.0,0.0,0.0,0.706,0.223,0.0,0.0,0.0
"BASIL,FRESH",Базилик,Обыкновенный,Зелень и специи,Базилик — Обыкновенный,23.0,92.06,3.15,2.65,0.64,1.49,1.600000024,0.0,0.300000012,177.0,56.0,64.0,4.0,295.0,3.17,0.385,0.81,1.148,0.3,0.0,11.0,264.0,0.8,0.0,0.034,0.076,0.902,0.209,0.155,0.0,0.0,18.0,414.8,0.0,3142.0,46.0,5650.0,0.0,0.0,0.073,0.316,0.0,0.0,0.0
"DILL WEED,FRSH",Укроп,Обыкновенный,Зелень и специи,Укроп — Обыкновенный,43.0,85.95,3.46,7.02,1.12,2.45,2.099999905,0.0,0.0,208.0,66.0,55.0,61.0,738.0,6.59,0.146,0.91,1.264,0.0,0.0,0.0,386.0,0.0,0.0,0.058,0.296,1.57,0.397,0.185,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.013,0.0,0.0,0.0
"SALT,TABLE",Соль,"Поваренная, йодированная","Вода, соль и сахар","Соль — Поваренная, йодированная",0.0,0.2,0.0,0.0,0.0,99.8,0.0,0.0,0.0,24.0,0.0,1.0,38758.0,8.0,0.33,0.03,0.1,0.1,0.1,5080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THYME,FRSH",Тимьян,Обыкновенный,Зелень и специи,Тимьян — Обыкновенный,101.0,65.11,5.56,24.45,1.68,3.2,14.0,0.0,0.0,405.0,106.0,160.0,9.0,609.0,17.45,0.555,1.81,1.719,0.0,0.0,0.0,238.0,0.0,0.0,0.048,0.471,1.824,0.409,0.348,0.0,0.0,160.1,0.0,0.0,2851.0,0.0,0.0,0.0,0.0,0.085,0.447,0.0,0.0,0.0
"ROSEMARY,FRESH",Розмарин,Обыкновенный,Зелень и специи,Розмарин — Обыкновенный,131.0,67.77,3.31,20.7,5.86,2.35,14.10000038,0.0,0.0,317.0,66.0,91.0,26.0,668.0,6.65,0.301,0.93,0.96,0.0,0.0,0.0,146.0,0.0,0.0,0.036,0.152,0.912,0.804,0.336,0.0,0.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.414,0.0,0.0,0.0
"FAT,BEEF TALLOW",Животный Жир,Говяжий,Масло и жир,Животный Жир — Говяжий,902.0,0.0,0.0,0.0,100.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,80.0,0.0,2.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.6,0.0,0.0,0.0
"VEGETABLE OIL,COCONUT",Растительное Масло,Кокосовое,Масло и жир,Растительное Масло — Кокосовое,862.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.019,0.0,0.0,0.0
"OIL,OLIVE,SALAD OR COOKING",Растительное Масло,Оливковое,Масло и жир,Растительное Масло — Оливковое,884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.761,0.0,0.0,0.0
"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)",Растительное Масло,"Подсолнечное, Линолевое (Около 65%)",Масло и жир,"Растительное Масло — Подсолнечное, Линолевое (Около 65%)",884.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,0.0
"FAT,MUTTON TALLOW",Животный Жир,Бараний,Масло и жир,Животный Жир — Бараний,902.0,0.0,0.0,0.0,100.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,80.0,0.0,2.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.3,0.0,0.0,0.0
"FAT,GOOSE",Животный Жир,Гусиный,Масло и жир,Животный Жир — Гусиный,900.0,0.2,0.0,0.0,99.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.5,0.0,0.0,0.0
"FISH OIL,COD LIVER",Рыбий Жир,Печень Трески,Масло и жир,Рыбий Жир — Печень Трески,902.0,0.0,0.0,0.0,100.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.387,0.0,30000.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.935,0.935,0.935,6.9,11.0
"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW",Курица,Мясо,Мясо,Курица — Мясо,119.0,75.46,21.39,0.0,3.08,0.96,0.0,70.0,0.0,12.0,173.0,25.0,77.0,229.0,0.89,0.053,1.54,0.019,15.7,1.8,66.0,16.0,0.21,0.1,0.073,0.142,8.239,1.058,0.43,0.0,0.37,2.3,1.8,0.0,0.0,0.0,0.0,0.0,16.0,0.55,0.02,0.08,0.01,0.03
"CHICKEN,GIZZARD,ALL CLASSES,RAW",Курица,Желудок,Мясо,Курица — Желудок,94.0,79.33,17.66,0.0,2.06,0.95,0.0,240.0,0.0,11.0,148.0,15.0,69.0,237.0,2.49,0.116,2.72,0.055,25.5,0.7,0.0,19.0,0.33,0.0,0.028,0.231,3.68,0.631,0.112,0.0,1.21,3.7,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.246,0.003,0.086,0.0,0.0
"CHICKEN,HEART,ALL CLASSES,RAW",Курица,Сердце,Мясо,Курица — Сердце,153.0,73.56,15.55,0.71,9.33,0.85,0.0,136.0,0.0,12.0,177.0,15.0,74.0,176.0,5.96,0.346,6.59,0.089,4.3,1.2,0.0,9.0,0.0,0.0,0.152,0.728,4.883,2.559,0.36,0.0,7.29,3.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.91,0.07,0.72,0.0,0.0
"CHICKEN,LIVER,ALL CLASSES,RAW",Курица,Печень,Мясо,Курица — Печень,116.0,76.46,16.92,0.0,4.83,1.06,0.0,345.0,0.0,8.0,297.0,19.0,71.0,230.0,8.99,0.492,2.67,0.255,54.6,2.7,194.0,3296.0,0.7,0.0,0.305,1.778,9.728,6.233,0.853,0.0,16.58,17.9,0.0,11.0,56.0,11.0,0.0,40.0,3290.0,0.475,0.012,0.326,0.0,0.0
"CHICKEN,BROILERS OR FRYERS,FAT,RAW",Животный Жир,Куринный,Масло и жир,Животный Жир — Куринный,629.0,28.91,3.73,0.0,67.95,0.28,0.0,58.0,0.0,7.0,54.0,6.0,32.0,64.0,0.7,0.029,0.45,0.014,9.7,0.0,16.0,130.0,2.73,3.3,0.021,0.059,2.041,0.19,0.02,0.0,0.07,0.0,2.4,0.0,55.0,0.0,0.0,0.0,125.0,13.3,0.7,0.04,0.0,0.0
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",Курица,Грудка,Мясо,Курица — Грудка,110.0,74.76,23.09,0.0,1.24,1.02,0.0,58.0,0.0,11.0,196.0,28.0,65.0,255.0,0.72,0.041,0.8,0.018,17.8,1.4,73.0,6.0,0.13,0.0,0.07,0.092,11.194,0.819,0.55,0.0,0.38,1.2,0.2,0.0,0.0,0.0,0.0,0.0,6.0,0.319,0.013,0.048,0.003,0.004
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Курица,Нога,Мясо,Курица — Нога,120.0,76.13,20.13,0.0,3.81,0.94,0.0,80.0,0.0,11.0,167.0,23.0,86.0,229.0,1.02,0.064,2.06,0.021,13.5,5.0,62.0,18.0,0.32,0.0,0.079,0.193,6.067,1.178,0.33,0.0,0.36,0.0,2.9,0.0,0.0,0.0,0.0,0.0,18.0,0.753,0.036,0.098,0.004,0.013
